description,country,variety
"A deliciously satisfying wood-aged Port. It has an intense fruitiness, with layers of acidity and oxidated notes. It's concentrated, yet shows lightness and poise.",Portugal,Port
"An impressive wood-aged wine that offers a rich, complex series of ripe yellow-fruit flavors, a steely texture and layers of wood toast. It is finely balanced, a wine with great style, spice and final acidity.",Portugal,Portuguese White
"A single-vineyard wine made from selected grapes. The wine is impressively structured and darkly tannic. While it's built for aging, it is drinkable now for its red plum and black currant flavors, as well as its juicy aftertaste.",Portugal,Portuguese Red
"Mint and eucalyptus aromas set the scene for a wine that is polished and sophisticated. It has firm tannins and balanced acidity that are well integrated into the flavors of berry fruit and wood. The wine is impressive, likely to age for 2–3 years or more.",Portugal,Portuguese Red
"As part of its top varietal range, Esporão has produced this rare Petit Verdot. Almost black in color, its darkness follows through onto the palate that's powerful, tarry and spicy, with plenty of concentration and richness.",Portugal,Petit Verdot
"A serious, dense wine that impresses with its elegant structure and rich fruit. The wine has an austere mineral feel that contrasts with its black-currant flavors, and its ripe, juicy character.",Portugal,Portuguese Red
"Structured and perfumed, this is a great expression of Touriga Nacional. It brings out a mineral character, with a severe edge to go with the dry tannins and black currant flavors. For aging over 4–5 years.",Portugal,Touriga Nacional
"A beautiful wood-aged wine, its power and concentration feel smooth and stylish, with elegant tannins, and toast and ripe black-currant flavors. It's a wine with the potential to age for 3–4 years.",Portugal,Portuguese Red
"The fact that this LBV is unfiltered means it can age, although with its powerful fruit it is ready to drink now. Following the Fonseca style of rich Ports, this wine relishes its full texture, spice and great concentration.",Portugal,Port
"Bottled in January 2012, this classic LBV has great perfumed fruit, soft and elegant. A blackberry jam flavor dominates, laced with black cherries and soft tannins. Immediately appealing and drinkable now.",Portugal,Port
"Bottled in June 2009, nearly four years after harvest, this is a limited production wine. It has great structure, tannin and beautiful ripe fruits. With a perfumed black-currant character, it is ready to drink now, but its tannins suggest aging potential.",Portugal,Portuguese Red
"Finely structured, this full-bodied wine is packed with black-fruit and plum flavors, with intense notes of spice and toast. With its solid foundation of powerful tannins, this is a wine for aging over 3–4 years.",Portugal,Portuguese Red
"From its youth, this is obviously an ageworthy wine. The tannins, firm black-fruit flavors and intense acidity all point to this wine's longevity. It shows great balance, with its fruit melding into its dry structure. A beautifully polished wine.",Portugal,Portuguese Red
"An impressive wine that is packed with notes of rich fruit, toast and vanilla. It has weight to its apple, peach and intense spice flavors. The style is like a ripe Chardonnay, just with extra acidity. Ready to drink, but could age for another year.",Portugal,Fernão Pires
"Full of aromas of dark plums, bitter chocolate and a bit of spice, this is a powerful wine. It is warm, rich and juicy, with a fruity character that is balanced by dense, dusty tannins. For aging over 4–5 years.",Portugal,Portuguese Red
"Very rich, ripe wine, full and round in character. It has spice from wood aging as well as almost-sweet yellow fruits. Pineapple acidity does give some balance to this powerful white wine.",Portugal,Portuguese White
"This is a minty, aromatic Syrah, with tannins that are laced with violet and blackberry flavors. It's finely structured, and shows a spice charcter from the fruit that combines easily with the wood toast. Age for 4 years.",Portugal,Syrah
"Mint and red-fruit aromas dominate this classic Dão wine, with its firm tannins and mineral structure. Spice, toast and dark-berry flavors give a feeling of weight to a wine that demands to be paired with rich red meats.",Portugal,Portuguese Red
"A sophisticated wine that shows the Douro structure while also bringing out great ripe swathes of black fruits. There is a fine balance, good depth of flavor, with a tannic character that promises aging.",Portugal,Portuguese Red
"In the full Fonseca style, this aged tawny shows both rich fruit and a more serious wood-aged character. Good acidity follows the sweet initial taste, broadening into ripe flavors of nut, plum jelly, and a final crisp acidity.",Portugal,Port
"A fine example of this sometimes tricky grape, this wine is structured with solid tannins and rich fruit. Wood aging has softened some of the structure, allowing a more rounded, rich aftertaste.",Portugal,Alicante Bouschet
"It's a ripe wood-aged wine, showing a full body, dark plum flavors and generous tannins. It is maturing well, giving plenty of ripe fruits along with spice and a solid tannic aftertaste.",Portugal,Portuguese Red
"This wine is delicious with its fresh, concentrated blueberry and raspberry flavors, and the ripest tannins. The wine has a dark and tannic element, although this is well integrated into its beautiful layers of fruit.",Portugal,Portuguese Red
"While the wine has weight, it also has intense mineral structure. It piles the citrus flavors over more notes of apples and apricots, a medley of fruits that are shaped into a firm, concentrated structure. The wine has acidity along with a light toast edge.",Portugal,Portuguese White
"This is a top wine from the Borba cooperative. It has all the right richness and fruitiness followed by great concentration, solid texture and dark tannins. The finish shows acidity, with touches of tar and perfume.",Portugal,Portuguese Red
"A big, bruising wine that is bursting with sweet tannins and juicy blackberry flavors. All of its acidity and attractive flavors of up-front fruit, spice and wood are clamoring for attention. Ready to drink with strong flavored food.",Portugal,Portuguese Red
"A sophisticated sparkling wine, showing minerality and structure. With some bottle age, it has developed an attractive nutty character, baring acidity and a tense texture.",Portugal,Portuguese Sparkling
"A big, sweet and mature wine. It has structure, dark tannins, and ripe and sweet fruit flavors, with notes of intense spice and wood. The acidity keeps the wine deliciously juicy, while its concentration offers a big, warm-hearted experience.",Portugal,Portuguese Red
"Tense and tannic, it's very dry initially, before opening up to show its rich blackberry and plum flavors. The structure is impressive with wood spice layered with tight fruit tannins. Worth aging for 3–4 years.",Portugal,Portuguese Red
"A new venture from Dirk Niepoort, who has chosen the crisp and fresh Loureiro grape as the base for this tantalizingly refreshing wine. It is dry, dancing lightly on the palate with a lively citrus and grapefruit character.",Portugal,Portuguese White
"An impressive Pinot Noir that brings out plenty of the varietal's characteristics: the strawberry fruit flavors, the structure and the acidity. It is from the region north of Lisbon, which has a cool maritime climate, giving the wine its depth of flavor. Age for two years.",Portugal,Pinot Noir
"The top wine from Quinta Nova is hugely rich, rather extracted and over the top. Chocolate, rather than fruit, dominates, giving a bitter edge and bringing out the wine's dark tannins. It's certainly impressive, and will soften in 3–4 years.",Portugal,Portuguese Red
"Made from Pinot Noir, this is a sophisticated and soft wine, its acidity cutting through the richness. There are lemon and green apple flavors followed by a red fruit aftertaste. A delicious, high quality sparkling wine.",Portugal,Pinot Noir
"Still retaining its fruitiness, this smooth aged tawny offers red-fruit and caramel flavors, layered with notes from wood aging. Drier than some aged tawnies, it has a smoky character to go with its ripe feel.",Portugal,Port
"Hovering easily between red-fruit flavors and a more mature wood-aged taste, this is a smooth Port. It is dominated by a rich texture, both juicy and spicy with a smoky hint.",Portugal,Port
"A smooth and beautifully ripe wine that is full of rich red fruits, in a Burgundian style. Opulent and deliciously rich, its tannins are enveloped in a plump velvet cushion. It can age longer, but is almost drinkable now.",Portugal,Portuguese Red
A brilliantly crisp wine that combines both the creaminess and fruit of Arinto and Chardonnay. Wood aging has added a rounder character. Ready to drink in a year.,Portugal,Portuguese White
"A finely balanced wine that combines rich red fruit flavors with acidity, a slight tang from the spirit and a feeling of warmth and roundness. It finishes with an almond note and fresh acidity.",Portugal,Port
"A serious, structured wine that packs a punch of black-cherry and spice flavors, with edges of wood and fine acidity. This is full of ripe fruit, and the tannins take on a supporting role of tension and power.",Portugal,Portuguese Red
"A perfumed, floral white, its citrus character is laced with flavors of apricot and green plums. This is a summer day's wine with a cool, refreshing feel to its smooth and ripe texture.",Portugal,Portuguese White
"A sweet wine that is packed with botrytis and also intense acidity. Honey, apricot and orange peel of the Riesling are blended with spicy Gewurztraminer, giving a taut, still young wine. Keep 3–4 years.",Portugal,White Blend
"A dry style of tawny, bringing out wood aging as well as rich mellow fruit. The wine has an old gold feel to it, with butter toffee, butterscotch and final acidity.",Portugal,Port
"The spice and juicy fruit give the wine its intense strawberry flavor. To balance its fruit, the tannins lend a firm background structure. The wine has just the right weight, and its soft aftertaste, it's ready to drink now.",Portugal,Alfrocheiro
"This is a rare dessert wine from the Vinho Verde region. It's packed with flavors of currant, lemon honey and orange peel. With its great sense of acidity, it is both sweet and deliciously refreshing.",Portugal,Portuguese White
"Its Grand Escolha (equivalent to a Reserve wine) label explains why this is a young, reticent and closed wine. With its firm fruits and tight tannins, it needs several years of aging to reveal what will always be a serious wine.",Portugal,Cabernet Sauvignon
"From a top vintage year, this LBV has a fine richness and dry core to its blackberry-jelly and spice flavors. Despite being softened by wood aging, it could withstand a few more years in bottle.",Portugal,Port
"A solid, chunky wine whose tannins are still dominant. It has ripe black fruit flavors and a hint ofspice from wood aging. This is a wine that will develop well over the next 3–5 years.",Portugal,Portuguese Red
A powerful—possibly too powerful—wine that pushes forward with its superconcentrated black-fruit flavors. It fills the palate with richness and juiciness; this is a wine for lovers of blockbusters.,Portugal,Portuguese Red
"An elegant wine that slides easily over the palate. Its red berry flavors have a firm edge that stiffens the initial softness. Its tannins and acidity make this a serious, food-friendly wine that could age.",Portugal,Portuguese Red
"A blend of Gouveio and Verdelho, this is a spicy, perfumed wine that has fine, lively acidity to go with its honey, lemon and pear flavors. To drink now, although the mineral edge suggests aging potential.",Portugal,Portuguese White
"One of the historic Portuguese branded wines, Serradayres continues to offer well-balanced fruit, attractive acidity and tannins that fit well into the overall ripe character of a wine that is ready to drink.",Portugal,Portuguese Red
"This single-variety wine from Alorna has a sophisticated quality that's found in the estate's other cuvées. It is structured, with spicy wood accents balancing the black currant flavors. A bitter chocolate note lends an edge to this finely made wine.",Portugal,Touriga Nacional
"Paxis is a warm, earthy wine, packed with ripe, soft and forward fruit. It does have a structure that could allow the wine to age, but there is no need as its fruitiness makes it ready to drink now.",Portugal,Portuguese Red
"A big, soft and rounded wine that shows notes of wood aging and ripe yellow fruit. There is a fine burst of acidity that offers a more citric side. Drink now, or wait for up to two more years.",Portugal,Portuguese White
"In the full style of an Alentejo white, this is packed with flavors of tropical fruit and yellow stone fruit. Its richness is balanced by a good crisp line of citrusy acidity that yields a harmonious whole.",Portugal,Portuguese White
"This is a very fruity wine with some of the Dão minerality lending it structure. There are red-fruit flavors, with notes of coffee and herb. Its tannins are balanced, and its acidity lends a juicy aftertaste.",Portugal,Portuguese Red
"In the hands of master blender Dirk Niepoort, even a straight tawny style has depth of flavor and intensity. The wine has red fruit, layered with concentrated acidity, a hint of wood aging, and remains fresh and fruity.",Portugal,Port
"A firm, tannic wine that reveals the cool ocean climate of Lisboa. This wine is structured and spicy from wood aging, with underlying juicy, well-blended flavors of plum and blackberry.",Portugal,Touriga Nacional
"A big, powerful wine that lives up to its Grande Reserva designation. With solid black fruits and equally solid, firm tannins, the wine is structured and rich at the same time. Expect this impressive wine to age for several years.",Portugal,Portuguese Red
This enjoyable blend of wood-aged Chardonnay and Fernão Pires is rich; the two grapes together lend a smooth and creamy wine.,Portugal,Portuguese White
"A blend of typical Alentejo grapes, this is a firm effort, with the fruit laced inbetween the complex tannic structure. The acidity gives the wine a final lift.",Portugal,Portuguese Red
"This wine heads the range of good value wines under the Monte Alentejano name. It has some weight and a tangy, structured character, and has not lost its black-plum flavors. Drink now.",Portugal,Portuguese Red
"Blending Riesling and Gewürztraminer, this wine benefits from the pure steeliness of the former and the spice of the latter. This wine has a honeyed character, balanced by intense acidity and dry botrytis. Great paired with berry fruits.",Portugal,Portuguese White
"A structured, elegant and concentrated wine. It is dominated by tannins, by its mineral structure and its black currant fruit. There are juicy acidity, firm tannins and a great sense of style. Still young from a fine Douro vintage, it needs several years to mature.",Portugal,Portuguese Red
"A big, black-colored wine, high on mint aromas, this is wonderfully chewy and concentrated. It revels in its smooth texture over a powerfully tannic character. Big, black, brooding fruits are complemented by superripe acidity, bitter chocolate and a firm aftertaste. Age for 4–5 years.",Portugal,Portuguese Red
"Dark in color, as befits a wine that was food trodden in open fermenters. To say it has a Port-like feel is to emphasize the wine's concentration, the mellifluous tannins and the powerful black fruits. It needs several years aging.",Portugal,Portuguese Red
"A soft, fruity wine, with spice, strawberry and currant flavors. It has a warm, open feel, with a hint of tannin. Its name refers to the winding Douro River Valley.",Portugal,Portuguese Red
"Extreme juiciness gives this wine an exotic character. It has ripe red-berry fruit, a hint of sweet tomato, and is layered with wood tones and soft tannins. The acidity cuts through this perfumed wine. Not for aging; it's attractively fruity and ready to drink now.",Portugal,Syrah
"Initially tannic, this concentrated wine shows itself to be young, with its structure still waiting to open. A dry texture lies over the big berry flavors that will develop over the next year.",Portugal,Portuguese Red
"A wood-aged wine that has a round character and a mineral tang. The flavors of yellow stone fruit, pineapple and toast are rich in this ready-to-drink wine.",Portugal,Portuguese White
"Smooth, rounded wine with the weight of ripe yellow fruit behind its acidity and creamy character. There is a touch of pepper that gives a burst of spice. With the extra year in bottle, the wine is now ready to drink.",Portugal,Alvarinho
"A big, bold and rich Port that is smooth and very plush with a velvet feel. The style is ripe and rounded, a delicious medley of jammy fruits and soft tannins.",Portugal,Port
"Ripe and jammy, with black-fruit, herb and licorice flavors, this wood-aged wine is superrich. It's heavy and full bodied, with dark tannins and a juicy fruit element.",Portugal,Portuguese Red
Flavors of ripe pear and lime juice make this wine both full in the mouth and crisp. There is an apple skin-like texture to this wine that is ready to drink.,Portugal,Portuguese White
"A full and rounded wine from one of the best estates in the Lima Valley of northern Portugal. It brings out all the structure and perfume of the Loureiro, adding in a rich intensity. A dry wine that is just right for food.",Portugal,Loureiro
"A lively, crisp wine that boasts intense pineapple and citrus fruits. From high-elevation Douro vineyards, it is light and refreshing, with great swathes of acidity.",Portugal,Portuguese Sparkling
"A rich, full-in-the-mouth tawny. It shows some attractive almond, nutmeg and marmalade flavors. At the end, a more fruity character emerges along with some light acidity.",Portugal,Port
"Crafted by Luis Duarte, one of Portugal's top winemakers, this spicy, fruity red is simple and easy to drink. Soft berry fruits, wood flavors and a warm mouthfeel are lightened with a tang of acidity. Screwcap.",Portugal,Portuguese Red
"With its edge of wood aging, this is a delicious entry level tawny. The wine has a toffee and orange marmalade character, retaining fruitiness in a soft, rounded texture.",Portugal,Port
"A firm, initially austere wine that only shows its richness slowly. Obviously it needs aging, because the dark tannins show the huge potential concentration of fruit under the tigth structure. It's going to be impressive. Give it 5–6 years.",Portugal,Portuguese Red
"A new label for the top wine from Comporta, producing a big, rich, muscular wine. It has powerful tannins, a solid and firm structure and ripe berry and plum fruits. The tannins need 2–3 years to round out.",Portugal,Portuguese Red
"An oak-aged wine that is velvet textured, the acidity a fresh addition to the rich, opulent fruit. Full in the mouth, it is flavored with ripe lime juice and mango. The aftertaste is rich, spicy and delicious.",Portugal,Portuguese White
"For those who like the acquired taste of red sparkling wine, this is an enjoyable example. It balances its acidity with taut black-currant flavors, along with a firm core of tannins.",Portugal,Portuguese Sparkling
"This is a rich, soft and spicy wine. It has jammy fruit flavors that are very ripe and warm. Its acidity cuts through the roundness to give a more balanced character, offering a powerful wine that is very ready to drink.",Portugal,Portuguese Red
"With its toast and vanilla flavors, balanced with notes of green apple and plum, this is an attractive, ready-to-drink wine that rolls ripely around the mouth.",Portugal,Portuguese White
"An impressive, serious wine that shows great ripe fruits, concentrated tannins and a solid edge of wood aging. It is finely structured, its richness not taking away from its balance, although it certainly is no wimp. Enjoy with hearty meals.",Portugal,Portuguese Red
"An attractive spice- and wood-flavored effort that has rich blackberry fruit. Its tannins are soft and round, with its acidity giving structure to a wine that is ready to drink.",Portugal,Portuguese Red
"A perfumed, crisp wine that is very aromatic. Citrus and grapefruit meld with kiwi-like acidity to give a brilliantly fruity but dry wine for instant pleasure.",Portugal,Loureiro
"An attractive, rounded raspberry flavored wine that is clean, fruity and soft in the mouth. A good streak of acidity keeps the crisp character, which is enhanced by a pink-grapefruit aftertaste.",Portugal,Portuguese Sparkling
"Rich, velvety wine, with its firm tannins smothered in opulent fruit. This is a concentrated wine, packing sweet fruits and tannins together with acidity. Black plum skins give a good firm edge and suggest aging potential.",Portugal,Portuguese Red
"An impressive wine, dense and structured, with great concentration of bitter coffee, dark fruits, ripe acidity. The tannins are powerful, embraced by the richness of the fruit. This is a wine that could age 3–4 years.",Portugal,Portuguese Red
"Smooth, unctuous and rich, this is a gorgeous wine that offers ripe peach and pineapple fruits to go with the fine acidity and hint of spice. Ready to drink now, it could age.",Portugal,Portuguese White
"The Reynolds family has been in Portugal since the 19th century and also owns the legendary Mouchão wine estate in Alentejo. This wine, homage to Julian Reynold's mother is a dark, brooding complex wine, packed with blackberry acidity and a solid backbone of tannin.",Portugal,Portuguese Red
"An intriguing blend that includes Cabernet Sauvignon as well as Castelão and Trincadeira. gives a firm yet full black fruited wine. It's packed with firm tannins, and its full black-fruit flavors are structured and layered with acidity. The perfumed aftertaste suggests a more plummy character.",Portugal,Portuguese Red
"Structured and dark, this wine's warm fruits are enmeshed in the firm tannins. It has richness and weight, with good sweet berry fruit flavors, and a juicy plum note on the finish.",Portugal,Portuguese Red
"A tannic and powerful black berry fruit driven wine, its weight and concentration fitting well with the overall richness. It is a powerful expression, hinting at minerality while enjoying its opulent character.",Portugal,Portuguese Red
"Wines from the windswept vineyards of Colares, where vines are planted almost in the sand, are rare. This Malvasia is fascinating, a wine that has perfumes, a touch of spice and kumquat as well as smoky acidity. Much more than a curiosity.",Portugal,Malvasia
"Smooth as Aragonês should be, here is a concentrated wine with obvious power. Its richness gives a velvet character, but underneath that is a series of dark tannins, brooding black fruits. Age for 3–4 years.",Portugal,Aragonês
"Big, tough tannins and dark brooding fruits give this wine a great sense of restrained power. It has firm muscles, offering support to the plush blue berry, currant and dark plum skins. It need good aging, at least over three years.",Portugal,Portuguese Red
"Wood-fermented, lees-stirred, superrich wine. It is complex, the acidity adding to the nectarine and pineapple flavors. With the wood element carefully judged, it does have power but never oversteps the mark. A real success, and worth aging.",Portugal,Viognier
"A fruity red, with jammy plum flavors and a smooth texture. The wine shows some of the elegance for which Taylor Fladgate is famed, while also offering a rich aftertaste.",Portugal,Port
"Aromatically earthy, this wine is attractively structured, with chalky minerality, ripe strawberry flavors and acidity on the finish.",Portugal,Portuguese Red
"A powerful wine that shows berry fruits, with dark tannins and layers of acidity. It is structured while being fruity and juicy; a great pasta wine that is ready to drink now.",Portugal,Portuguese Red
"A wine that blends intense acidity with a rich and dense texture to give a fruit and mineral driven wine. The flavors come from plums, taut tannins to create a wine that is firmly structured as well as concentrated.",Portugal,Portuguese Red
"A powerful, rich and creamy wine that has a soft texture, hinting at wood aging and attractive spice and yellow fruits. It fills the mouth easily with ripe fruits, toast and rich acidity.",Portugal,Chardonnay
"Ripe, concentrated, perfumed fruit give this remarkable wine both richness and character. It has pear juice, star fruit and a hint of apricot, made richer by a smooth texture. There is plenty of acidity for a fresh finish.",Portugal,Fernão Pires
"A drier style of white Port, its richness coming from concentrated flavors of spice, almond and vanilla. There is some good acidity to give the wine a refreshing aftertaste, leaving a flavor of dried oregano along with the spirit.",Portugal,Port
"This is a fruity wine, with tight acidity and a smooth texture. It's full of pear and green-apple flavors, and a warm, rich feeling. Very clean, ready to drink.",Portugal,Portuguese White
"The latest release from Vallado is a value wine named after a four-leaf clover found on the estate. Soft and spicy, it is full of berry flavors, with just a hint of Douro power. This 2010 is ready to drink for its fruit and its structure.",Portugal,Portuguese Red
"Solid and chunky, a wine that fills the mouth with its attractive red fruits, structured tannins and a general juicy feel. A fine barbecue wine.",Portugal,Portuguese Red
"Softer than some Vinho Verdes, this wine from the Loureiro grape has a baked-apple character, its acidity laced into the ripe grapefruit flavors. It is crisp, dry, yet soft.",Portugal,Loureiro
"While the wine is obviously rich, there is a sense of the natural style of Touriga Nacional. The tannins are present, although enveloped by the ripe berry and plum fruits. Touches of dark chocolate go with acidity to finish.",Portugal,Touriga Nacional
"Rich and smooth wine, with a velvet texture despite the strong core of tannins. The wine is solid, dense, full of black plum and chocolate flavors, layered with fine acidity. It could be aged for one to two years, but is ready to drink.",Portugal,Portuguese Red
"Lightly strawberry colored and flavored, this is a wine with a hint of tannin as well as bright, fresh fruit. While it could age for another year in bottle, it is a food-friendly sparkler that should pair well with rich seafood.",Portugal,Portuguese Sparkling
"A blend of Touriga Nacional and Syrah has produced an intriguing mix of earth, mint and red-fruit flavors. The wine is rich and concentrated, laced with intense acidity. Drink now.",Portugal,Portuguese Red
"A fine and fruity wine that is tangy, dry, packed with citrus and lively acidity that has benefited from a year's aging. The aftertaste is full, always fresh.",Portugal,Portuguese White
"Mint and wood aromas go well with this smooth, wood-aged wine. Blending Touriga Nacional and Petit Verdot (resulting in its intense color), the impressive wine is concentrated with very ripe black fruit, which still retains good levels of acidity. Age for 2–3 years.",Portugal,Portuguese Red
"Lush yellow fruits shimmy through the toast character of this wine. It is certainly rich and full, but structured with a good dose of acidity. This is ripe, rich, suggesting increasing complexity in the next few years.",Portugal,Portuguese White
"A wine that reveals the warmth of the Alentejo in 2009. It is gentle and smooth, with flavors of spice, red fruit and a touch of wood. Not for aging, this is a great barbecue wine.",Portugal,Portuguese Red
"Soft and ripe, this wine has an easy, approachable character. It brings out the warmth of the Alentejo with a rounded character, rich black-cherry flavors and enticing acidity. Drink now.",Portugal,Portuguese Red
"A finely perfumed wine, its ripe fruits given extra style by wood aging. Made from the local Baga, this shows the potential of what can be a tannic grape. It has richness, structure, bramble and red stone fruits and a core of minerality. Drink now.",Portugal,Baga
"Quinta Nova is downriver of Pinhão, still in the heart of Douro vineyards. The wine is sold, firm, with a fine balance of dark tannins and concentrated fruit. It should be aged for 3–4 years.",Portugal,Portuguese Red
"A crisp style of Alvarinho, packed with green fruits, apples and lemon along with richer pink grapefruit. There is an attractive tangy minerality as well, giving a satisfying full-in-the-mouth wine.",Portugal,Alvarinho
"Aged in wood (there is no doubt about that from aroma and palate), this is potentially a rich, smooth, oily textured wine. At the moment, the wood dominates so give it a year for the fruit to broaden out to make a rich and delicious wine.",Portugal,Cerceal
"An attractive entry level Port, fruity with a light tannic structure and a sweet character. Blackberry jam dominates the fruit flavor of this everyday Port.",Portugal,Port
"A delicious, ripe but dry wine with good acidity and attractive flavors of apple and white currant. The wine has some depth as well as crispness. Screwcap.",Portugal,Portuguese White
"Flavors of yellow fruits and pink grapefruit are balanced in this wine. There's a hint of spice, with attractive, taut acidity that adds structure to the wine.",Portugal,Portuguese White
"An opulent, rich wine, spice and wood fitting well into a concentrated texture, packed with juicy berries, red fruits, hints of coffee. It is an impressive, ripe wine, worth aging another 1–2 years.",Portugal,Portuguese Red
"A soft, mellow style that veers on the sweet side, but has a good tang from its wood aging. The Port has a touch of orange peel, just a hint of spirit and soft final tannins.",Portugal,Port
"A fine addition to Churchill's Douro wines, this is rich, perfumed with hints of violets, layers of soft tannins and jammy red berry fruits. It has a tannic firmness, but this is cushioned by the generous fruit.",Portugal,Touriga Nacional
"Attractive flavors of red fruit mixed with soft tannins give this wine a very approachable feel. With spice notes from having been aged in wood and its fruity character, this wine is ready to drink now.",Portugal,Portuguese Red
"Pineapple and mango flavors lead off a wine that is soft and rounded. Its acidity is muted by the ripe fruit, although there is a good zingy mineral edge. A seafood friendly style of wine.",Portugal,Portuguese White
"A ripe, soft, fruity wine that has red-berry flavors, with a hint of spice from having spent time in wood, and attractive acidity. It's immediately appealing and needs no further aging.",Portugal,Portuguese Red
"Despite its alcohol, this is actually a delicate, stylish, lemon-scented wine. There is an attractive perfume that shines through the oil and mineral texture. A great food wine.",Portugal,Verdelho
"Big, bold wine, with few concessions, this is richly fruity, its ripe fruits bolstered by tannins. The pepper from the alcohol does intrude, giving an overheated feel to what is otherwise a powerful, fruit-driven wine.",Portugal,Portuguese Red
"Very black in color, this is a dark and powerful wine. Its texture is treacly, opulent, the big spice, plum juice and raisin character powering through the tannins. Like most of the Julian Reynolds range, it has an old-fashioned barnyard feel, making it a great food wine, but not for sipping.",Portugal,Portuguese Red
"Bearing in mind that pink Ports lend themselves as a cocktail ingredient, the neutral character of this sweet wine is just right. Hinting at strawberry flavors and a soft texture, it is ready to drink.",Portugal,Port
"A lean, rather severe wine initially that pushes its bitter chocolate and tannic character. Only slowly does its ripe berry fruit come through to give a fuller texture. At the end, more juicy cranberry flavors appear.",Portugal,Portuguese Red
"A blend of Douro grapes, this wine is earthy and lightweight. While it does make an attractively fruity wine, it misses the extra dimension of wood.",Portugal,Portuguese Red
"A smooth and soft wine that shows some weight to its ripe apricot and lime flavors. It is rounded, with a slight apple-skin texture, and is ready to drink. Screwcap.",Portugal,Alvarinho
"A light, bright and breezy wine with an attractive citrus character and tight acidity. Great for an apéritif or with shellfish.",Portugal,Portuguese White
"A light and fruity style of Vinho Verde, its acidity balanced with pear and white-currant notes. Lemon flavors cut through, adding brightness.",Portugal,Portuguese White
"A soft and creamy wine. It has baked apple and perfume notes, with an attractive, crisp aftertaste. Made from Alvarinho grown in the northern subregion of Vinho Verde, this wine could age a few months.",Portugal,Alvarinho
Elegantly wood-aged wine that has fresh acidity along with toasty pear juice and a rich cream texture. It has an attractive nutmeg edge to go with its tangy aftertaste.,Portugal,Portuguese White
"This smooth, full-bodied wine offers plum jam flavors, concentration, with hints of herbs, sweet berries, laced with acidity. From the Herdade das Servas vineyards near the marble quarries of Estremoz, this is worth aging for two years.",Portugal,Portuguese Red
"A linear, dry style of Port, structured and assured. It has richness, of course, with flavors of dried fruits, dark black cherries and acidity. Even though it is an LBV, it could certainly age for a few years.",Portugal,Port
"A very round wine that offers a luscious, lip-smacking experience of rich fruits, sweet berries and soft tannins. The wine certainly has power, but even as a Grande Reserva, is unlikely to age. At the end, it is showy, not complex.",Portugal,Portuguese Red
"Rich and soft, very smooth, this Alentejo version of Tinta Roriz in the Douro is ripe, rounded, full. It has tannins, although these integrate well with the rounded texture. There is a sense of power, but not overwhelming.",Portugal,Aragonês
"This is a crisp, fresh and fruity rosé, made from Touriga Nacional in the same region where Vinho Verde is produced. It's vivid acidity is bright, with raspberry flavors and low alcohol.",Portugal,Rosé
"Earthy aromas lead to a wine that is closed, tight and very firm. It has tough tannins that mask the jellied red-fruit flavors, but should soften in a year, revealing a more juicy character.",Portugal,Touriga Nacional
"A big-hearted wine, despite its modest alcohol. This character comes from the bold fruitiness—blackberry and sweet plum flavors—underpinned with acidity and a light touch of tannins. Ready to drink.",Portugal,Portuguese Red
"A densely tannic wine, chocolate and bitter coffee layered with dark fruit and a ripe, spicy edge. Pepper comes from the alcohol, but this is still a richly juicy wine, full of fruit, finishing with acidity.",Portugal,Portuguese Red
"Bright and fresh Vinho Verde, with attractive citrus character and a light fizz over dryness. The wine is just right for summer drinking. Screwcap.",Portugal,Portuguese White
"Crisp apple-green wine with just the right amount of acidity to balance the palate prickle. The wine is dry, laced with citrus.",Portugal,Portuguese White
"While this is lightweight for a Douro wine, it does have a backbone of tannin. It is warm, with its damson jelly flavors giving a reassuring winter feel. The texture shows dusty tannins and a final juicy character. Screwcap.",Portugal,Portuguese Red
"Storks have traditionally nested in the tall chimnies of DFJ's winery, and this wine celebrates that. Soft, ripe and easily fruity, it has a light tannic touch, followed by some bright acidity and red-berry flavors. Screwcap.",Portugal,Portuguese Red
"Barnyard aromas offer a wine that is spicy and ripe, with the somewhat hard tannins lending a rustic feel. There is some juicy red fruit that blends with the acidity.",Portugal,Trincadeira
"A soft, simple and ripe wine, with attractive notes of white-fruit. The texture is open, with a light touch of acidity and citrus flavors.",Portugal,Portuguese White
"A blend of Chardonnay and Fernão Pires, this is light, fruity and ready to drink. Its citrus and white-fruit flavors are soft, open and approachable. Screwcap.",Portugal,Portuguese White
"A young, fruity wine with soft tannins and juicy berry fruits. It is forward, very approachable, and is ready to drink with pasta or spicy food.",Portugal,Portuguese Red
"Vanilla and raspberry notes flavor this rosé, with its acidity lending a bright, fresh character. A blend of Castelão and Aragonez, it has the spicy Castelão character with the Aragonez lending this wine some weight.",Portugal,Rosé
"As fresh as possible, a wine with some soft sweetness but more of the crisp acidity of Vinho Verde. Bright, lemon scented and clearly ready for the summer.",Portugal,Portuguese White
"A wood-aged white, rich and creamy as a consequence of the toast. There is also an attractive perfume from the Moscatel in the blend. White fruits, a hint of nutmeg and fresh final acidity.",Portugal,Portuguese White
"Hugely black in color, a big-hearted wine that tames the rustic Alicante Bouschet character to produce a densely tannic, spice and damson fruit driven wine. There is perhaps just a touch too much extraction, but there is no question about the force of the wine.",Portugal,Alicante Bouschet
